시군구,시설 수,shortName,x,y,광역시도,행정구역
강남구,28,서울강남,6,7,서울특별시,강남구
강동구,13,서울강동,8,5,서울특별시,강동구
강북구,12,서울강북,5,2,서울특별시,강북구
강서구,15,서울강서,4,4,서울특별시,강서구
관악구,11,서울관악,5,6,서울특별시,관악구
광진구,11,서울광진,7,6,서울특별시,광진구
구로구,15,서울구로,4,7,서울특별시,구로구
금천구,7,서울금천,5,7,서울특별시,금천구
노원구,21,서울노원,6,1,서울특별시,노원구
도봉구,11,서울도봉,5,1,서울특별시,도봉구
동대문구,12,서울동대문,7,4,서울특별시,동대문구
동작구,8,서울동작,5,5,서울특별시,동작구
마포구,13,서울마포,5,4,서울특별시,마포구
서대문구,14,서울서대문,5,3,서울특별시,서대문구
서초구,22,서울서초,6,6,서울특별시,서초구
성동구,15,서울성동,7,5,서울특별시,성동구
성북구,24,서울성북,6,2,서울특별시,성북구
송파구,21,서울송파,8,6,서울특별시,송파구
양천구,12,서울양천,4,5,서울특별시,양천구
영등포구,11,서울영등포,4,6,서울특별시,영등포구
용산구,18,서울용산,6,5,서울특별시,용산구
은평구,16,서울은평,4,3,서울특별시,은평구
종로구,66,서울종로,6,3,서울특별시,종로구
중구,27,서울중구,6,4,서울특별시,중구
중랑구,6,서울중랑,8,4,서울특별시,중랑구
강서구,4,부산강서,8,18,부산광역시,강서구
금정구,10,부산금정,10,15,부산광역시,금정구
기장군,9,부산기장,12,16,부산광역시,기장군
남구,13,부산남구,11,19,부산광역시,남구
동구,10,부산동구,10,17,부산광역시,동구
동래구,8,부산동래,11,16,부산광역시,동래구
부산진구,11,부산부산진,10,16,부산광역시,부산진구
북구,10,부산북구,9,16,부산광역시,북구
사상구,6,부산사상,9,17,부산광역시,사상구
사하구,7,부산사하,9,19,부산광역시,사하구
서구,7,부산서구,9,18,부산광역시,서구
수영구,5,부산수영,11,18,부산광역시,수영구
연제구,4,부산연제,11,17,부산광역시,연제구
영도구,8,부산영도,10,19,부산광역시,영도구
중구,7,부산중구,10,18,부산광역시,중구
해운대구,12,부산해운대,12,17,부산광역시,해운대구
남구,8,대구남구,9,14,대구광역시,남구
달서구,16,대구달서,8,15,대구광역시,달서구
달성군,7,대구달성,9,15,대구광역시,달성군
동구,13,대구동구,11,13,대구광역시,동구
북구,15,대구북구,9,13,대구광역시,북구
서구,9,대구서구,8,14,대구광역시,서구
수성구,15,대구수성,10,14,대구광역시,수성구
중구,9,대구중구,10,13,대구광역시,중구
강화군,11,인천강화,1,3,인천광역시,강화군
계양구,9,인천계양,2,5,인천광역시,계양구
남구,10,인천남구,2,7,인천광역시,남구
남동구,10,인천남동,2,8,인천광역시,남동구
동구,5,인천동구,1,5,인천광역시,동구
부평구,13,인천부평,2,6,인천광역시,부평구
서구,13,인천서구,1,4,인천광역시,서구
연수구,19,인천연수,1,8,인천광역시,연수구
옹진군,4,인천옹진,0,8,인천광역시,옹진군
중구,18,인천중구,1,7,인천광역시,중구
광산구,9,광주광산,2,19,광주광역시,광산구
남구,14,광주남구,2,21,광주광역시,남구
동구,19,광주동구,3,20,광주광역시,동구
북구,19,광주북구,3,19,광주광역시,북구
서구,13,광주서구,2,20,광주광역시,서구
대덕구,11,대전대덕,5,12,대전광역시,대덕구
동구,12,대전동구,5,13,대전광역시,동구
서구,15,대전서구,4,14,대전광역시,서구
유성구,17,대전유성,4,13,대전광역시,유성구
중구,7,대전중구,5,14,대전광역시,중구
남구,11,울산남구,12,15,울산광역시,남구
동구,3,울산동구,12,14,울산광역시,동구
북구,11,울산북구,12,13,울산광역시,북구
울주군,14,울산울주,11,15,울산광역시,울주군
중구,8,울산중구,11,14,울산광역시,중구
세종시,23,세종,4,11,세종특별자치시,세종시
